"","conf","Yr","count","link"
"52","sun-belt",1999,1,"https://www.sports-reference.com/cbb/conferences/sun-belt/1999-stats.html"
"53","wac",1999,3,"https://www.sports-reference.com/cbb/conferences/wac/1999-stats.html"
"54","acc",2000,2,"https://www.sports-reference.com/cbb/conferences/acc/2000-stats.html"
"55","big-12",2000,4,"https://www.sports-reference.com/cbb/conferences/big-12/2000-stats.html"
"56","big-east",2000,4,"https://www.sports-reference.com/cbb/conferences/big-east/2000-stats.html"
"57","big-ten",2000,5,"https://www.sports-reference.com/cbb/conferences/big-ten/2000-stats.html"
"58","colonial",2000,1,"https://www.sports-reference.com/cbb/conferences/colonial/2000-stats.html"
"59","pac-10",2000,2,"https://www.sports-reference.com/cbb/conferences/pac-10/2000-stats.html"
"60","sec",2000,5,"https://www.sports-reference.com/cbb/conferences/sec/2000-stats.html"
"61","wac",2000,1,"https://www.sports-reference.com/cbb/conferences/wac/2000-stats.html"
"62","acc",2001,3,"https://www.sports-reference.com/cbb/conferences/acc/2001-stats.html"
"63","big-12",2001,1,"https://www.sports-reference.com/cbb/conferences/big-12/2001-stats.html"
"64","big-east",2001,4,"https://www.sports-reference.com/cbb/conferences/big-east/2001-stats.html"
"65","big-ten",2001,2,"https://www.sports-reference.com/cbb/conferences/big-ten/2001-stats.html"
"66","cusa",2001,1,"https://www.sports-reference.com/cbb/conferences/cusa/2001-stats.html"
"67","ovc",2001,1,"https://www.sports-reference.com/cbb/conferences/ovc/2001-stats.html"
"68","pac-10",2001,7,"https://www.sports-reference.com/cbb/conferences/pac-10/2001-stats.html"
"69","sec",2001,2,"https://www.sports-reference.com/cbb/conferences/sec/2001-stats.html"
"70","acc",2002,5,"https://www.sports-reference.com/cbb/conferences/acc/2002-stats.html"
"71","atlantic-10",2002,1,"https://www.sports-reference.com/cbb/conferences/atlantic-10/2002-stats.html"
"72","big-12",2002,1,"https://www.sports-reference.com/cbb/conferences/big-12/2002-stats.html"
"73","big-east",2002,1,"https://www.sports-reference.com/cbb/conferences/big-east/2002-stats.html"
